,ìíâÕå¥,ê^íﬂ,éOâYäCä›,âWéq,ëÂïΩë‰,ì¸ê∂ìc,ç™ï{êÏ,ãûã}í∑ëÚ,ãvó¢ïl,è„ã≠óÖ,ë´ïø,äõã{,êVêÄéq,à¿êjíÀ,âYâÍ,ëÂóYéR,ä‚å¥,â∫ë]â‰,ìÒã{,ëÂàÈ,ïΩíÀ,ñkäùÉPçË,çîè¿äCä›,êŒè„,äôëq,í«ïl,äCÇÃåˆâÄéƒå˚,íJâ„,ìåéRñk,èºìc,èaëÚ,ìåäCëÂäwëO,íﬂä™â∑êÚ,çÅêÏ,ëPçs,ëÂëD,êVêôìc,ãûã}ïxâ™,à…ê®å¥,à§çbêŒìc,å˙ñÿ,çÇç¿èaíJ,Ç¢Ç∏Ç›íÜâõ,è„âiíJ,àÈéq,êŒêÏí¨,ì¸íJ,ëäñÕëÂíÀ,äÛñ]ÉPãu,íﬂÉPïÙ,ï–ëqí¨,ëÂå˚,äCé≈âY,å¥ìññÉ,è¨ìcã}ëäñÕå¥,ê¨ê£,Ç∑Ç∏Ç©ÇØë‰,äõãè,ñkêVâ°ïl,ëÂëqéR,òZãΩìyéË,âHìcãÛç`çëç€ê¸É^Å[É~ÉiÉã,êVêÆîıèÍ,è„ça,å√ï£,ã êÏäwâÄëO,íﬂêÏ,Ç†Ç¥Ç›ñÏ,äÅÇ™íJ,ëΩñÄêÏ,írè„,åäéÁàÓâ◊,âHìcãÛç`çëì‡ê¸É^Å[É~ÉiÉã,ì°ñÏ,ëäñÕåŒ,ê¥ëÍ,çÇîˆ,ëäå¥,ëÂíÀÅEíÈãûëÂäw,è¨ìcã}âiéR,àÓèÈ,òaêÚëΩñÄêÏ,äÏëΩå©,âúëÚ,êŒêÏë‰,ê¬ï®â°íö,ê¬äC,äãêºó’äCåˆâÄ,êºî™â§éq,ñkî™â§éq,çbèBäXìπ,ñkï{íÜ,ã£í¯èÍëO,çëóÃ,è„ñkëÚ,írÉmè„,ê¬éRàÍíöñ⁄,ê‘ç‚,âzíÜìá,ëÂìá,àÍîVç],ïêë†å‹ì˙és,èHêÏ,è∫ìá,êÚëÃàÁäŸ,ê¬î~äXìπ,çëï™éõ,êºïêñˆëÚ,à‰â¨,à¢ç≤ÉPíJ,írë‹,ê‘ìyè¨äwçZëO,êÛëê,ê¬ìu,ç]åÀêÏ,å‰äxéR,ê¬î~,è¨çÏ,î†ç™ÉPçË,êºïêãÖèÍëO,ãvïƒêÏ,èHí√,ìåãvóØïƒ,ëÂêÚäwâÄ,è„î¬ã¥,ê‘âH,îÚíπéR,ê¬à‰,Ç®â‘íÉâÆ,êVéƒñî,âúëΩñÄ,êÏà‰,åRî®,ã‡éq,àÓâ◊éRåˆâÄ,çqãÛåˆâÄ,éuñÿ,í©â‡,ñkåÀìc,êÏå˚,é…êl,ëêâ¡,î™í™,éOãΩ,ìåå·ñÏ,çÇóÌ,ã∑éRés,êVã∑éR,è„ïüâ™,ó^ñÏñ{í¨,âYòa,âYòaî¸âÄ,åÀíÀà¿çs,äóê∂,êVéOãΩ,å·ñÏ,ïêèBí∑ê£,àÍñ{èº,ä}î¶,â‡ÉPä÷,êÏâz,éwêÓ,ëÂã{,ëÂã{åˆâÄ,ÇπÇÒÇ∞ÇÒë‰,ëÂë‹,îíãv,âYéRå˚,å‰â‘î®,à∞ÉPãvï€,âzê∂,ñkç‚åÀ,ñkè„îˆ,è„îˆ,ò@ìc,ä‚íŒ,àÍÉmäÑ,ìÏç˜à‰,ëÂñÏå¥,ñæäo,êXó—åˆâÄ,çÇç‚,â±êÏ,à…ìﬁíÜâõ,îíâ™,ìåïêìÆï®åˆâÄ,ïPã{,êeï@,è¨êÏí¨,ñkçÉëÉ,çÉëÉ,ãväÏ,çKéË,ñÏè„,îgãvóÁ,è¨ëOìc,íjÂŒ,ñæåÀ,ëÂñÉê∂,è„åFíJ,çsìc,â¡ê{,â‘çË,åIã¥,éôã ,èºãv,ê[íJ,êŒå¥,ìåçsìc,êVãΩ,âHê∂,êVå√âÕ,íOëë,ñ{èØ,â™ïî,ñˆê∂,ê_ï€å¥
ìíâÕå¥,0.0,189.0,1541.0,2690.0,780.0,560.0,199.0,1499.0,1342.0,1350.0,456.0,330.0,1166.0,1408.0,1480.0,610.0,520.0,510.0,506.0,594.0,682.0,770.0,984.0,1058.0,990.0,1365.0,1482.0,750.0,590.0,550.0,581.0,676.0,676.0,770.0,1015.0,990.0,1166.0,1302.0,707.0,749.0,792.0,1012.0,1115.0,1232.0,1166.0,1342.0,1410.0,970.0,1023.0,1054.0,1357.0,1323.0,1518.0,991.0,875.0,1063.0,1084.0,1147.0,1367.0,1468.0,1584.0,1675.0,1824.0,1034.0,1063.0,927.0,969.0,1147.0,1178.0,1541.0,1304.0,1625.0,1706.0,1609.0,1521.0,1392.0,1371.0,1122.0,1277.0,1063.0,1199.0,1063.0,1063.0,1231.0,1262.0,1625.0,1661.0,1980.0,1323.0,1298.0,1430.0,1283.0,1409.0,1262.0,1304.0,1294.0,1336.0,1336.0,1980.0,1493.0,1546.0,1697.0,1562.0,1459.0,1471.0,1371.0,1371.0,1493.0,1431.0,1389.0,1367.0,1578.0,1893.0,1599.0,1672.0,,1697.0,1609.0,1562.0,1598.0,1567.0,1459.0,1606.0,1609.0,1535.0,1441.0,1578.0,1620.0,1599.0,2276.0,1998.0,1862.0,1785.0,1650.0,1661.0,1598.0,1619.0,1629.0,1529.0,1980.0,1745.0,2144.0,1703.0,2310.0,1944.0,1912.0,1661.0,1692.0,1702.0,1694.0,2310.0,1931.0,1851.0,2187.0,2310.0,1986.0,2038.0,1964.0,1964.0,1367.0,1838.0,2310.0,1694.0,2007.0,1777.0,1777.0,2614.0,2404.0,2164.0,2090.0,2111.0,1964.0,2310.0,2310.0,2310.0,1881.0,1829.0,2677.0,2334.0,2093.0,2111.0,2027.0,2640.0,2666.0,2640.0,1881.0,1881.0,3060.0,1367.0,2640.0,2640.0,2007.0,2417.0,3164.0,2884.0,3590.0,2280.0,3390.0,3320.0,3250.0,2640.0,2713.0,2640.0,2640.0,2907.0,2621.0,3080.0,3250.0,3264.0,10670.0,2713.0,2713.0,2701.0,3410.0,3080.0,2713.0,3410.0
ê^íﬂ,0.0,0.0,1357.0,2602.0,692.0,472.0,189.0,1357.0,1342.0,1262.0,368.0,242.0,990.0,1232.0,1304.0,522.0,432.0,420.0,418.0,506.0,594.0,682.0,896.0,970.0,990.0,1189.0,1412.0,662.0,590.0,462.0,493.0,588.0,588.0,770.0,927.0,858.0,1166.0,1232.0,619.0,661.0,704.0,924.0,1027.0,1232.0,1166.0,1166.0,1322.0,882.0,935.0,966.0,1357.0,1235.0,1342.0,903.0,787.0,975.0,996.0,1059.0,1279.0,1323.0,1408.0,1499.0,1648.0,946.0,975.0,839.0,881.0,1059.0,1090.0,1417.0,1216.0,1449.0,1530.0,1521.0,1433.0,1304.0,1283.0,1034.0,1189.0,975.0,1111.0,975.0,975.0,1143.0,1174.0,1449.0,1573.0,1980.0,1235.0,1210.0,1342.0,1195.0,1321.0,1174.0,1216.0,1206.0,1248.0,1248.0,1694.0,1405.0,1458.0,1609.0,1474.0,1371.0,1383.0,1283.0,1283.0,1405.0,1343.0,1301.0,1279.0,1490.0,1862.0,1511.0,1584.0,,1609.0,1521.0,1474.0,1510.0,1479.0,1371.0,1518.0,1521.0,1447.0,1353.0,1490.0,1532.0,1511.0,2276.0,1910.0,1774.0,1697.0,1562.0,1573.0,1510.0,1531.0,1541.0,1441.0,1980.0,1657.0,2113.0,1615.0,2310.0,1856.0,1699.0,1573.0,1604.0,1614.0,1606.0,1980.0,1843.0,1763.0,2113.0,2310.0,1898.0,1939.0,1876.0,1876.0,1279.0,1750.0,2310.0,1606.0,1919.0,1689.0,1689.0,2526.0,2316.0,2076.0,2002.0,2023.0,1876.0,2310.0,2310.0,2310.0,1793.0,1741.0,2160.0,2246.0,2005.0,2023.0,1939.0,2310.0,2666.0,2310.0,1793.0,1793.0,2884.0,1279.0,2640.0,2640.0,1919.0,1846.0,2988.0,2708.0,3590.0,2192.0,3390.0,3320.0,3250.0,2640.0,2713.0,2640.0,2640.0,2819.0,2533.0,3080.0,3250.0,3264.0,10670.0,2713.0,2595.0,2613.0,3410.0,3080.0,2595.0,3410.0
éOâYäCä›,0.0,0.0,0.0,3585.0,1675.0,1455.0,1357.0,136.0,199.0,2245.0,1351.0,1137.0,283.0,283.0,242.0,1505.0,1415.0,1137.0,961.0,873.0,873.0,785.0,735.0,809.0,507.0,314.0,579.0,1357.0,1357.0,1227.0,1204.0,1141.0,1141.0,785.0,766.0,535.0,367.0,367.0,1110.0,1047.0,961.0,829.0,878.0,640.0,503.0,535.0,1090.0,859.0,807.0,775.0,734.0,712.0,744.0,1089.0,1017.0,972.0,953.0,796.0,765.0,733.0,723.0,846.0,995.0,1132.0,1049.0,1017.0,1048.0,828.0,848.0,827.0,848.0,796.0,920.0,1457.0,1414.0,1236.0,1215.0,1225.0,1367.0,1153.0,1131.0,1090.0,1090.0,827.0,848.0,870.0,1372.0,1178.0,1302.0,1434.0,1387.0,1192.0,1237.0,1047.0,1005.0,974.0,1016.0,1016.0,1038.0,1142.0,1195.0,1511.0,1511.0,1357.0,1483.0,1269.0,1215.0,1310.0,1278.0,1178.0,1016.0,1236.0,1090.0,1257.0,1331.0,,1610.0,1511.0,1566.0,1393.0,1372.0,1351.0,1319.0,1289.0,1215.0,1068.0,1215.0,1300.0,1227.0,1504.0,1896.0,1731.0,1658.0,1566.0,1425.0,1393.0,1299.0,1278.0,1267.0,1266.0,1403.0,1341.0,1383.0,1497.0,1582.0,1550.0,1456.0,1456.0,1382.0,1321.0,1244.0,1548.0,1468.0,1341.0,1519.0,1624.0,1655.0,1602.0,1644.0,1016.0,1445.0,1530.0,1409.0,1556.0,1457.0,1457.0,2252.0,2042.0,1802.0,1770.0,1655.0,1602.0,1618.0,1530.0,1530.0,1608.0,1597.0,1649.0,1972.0,1844.0,1728.0,1602.0,1618.0,1765.0,1618.0,1561.0,1649.0,2294.0,1090.0,1838.0,1817.0,1706.0,1702.0,2556.0,2276.0,2524.0,1864.0,2324.0,2254.0,2184.0,2014.0,1875.0,1838.0,1838.0,2337.0,2194.0,2190.0,2184.0,2262.0,11367.0,1911.0,1911.0,2370.0,2366.0,2366.0,1911.0,2556.0
âWéq,0.0,0.0,0.0,0.0,1950.0,2170.0,2559.0,3628.0,3526.0,1340.0,2486.0,2549.0,3218.0,3450.0,3532.0,2640.0,2550.0,2560.0,2602.0,2690.0,2778.0,2866.0,3080.0,3154.0,3130.0,3417.0,3534.0,2780.0,2690.0,2580.0,2611.0,2706.0,2706.0,2866.0,3093.0,3042.0,3218.0,3354.0,2737.0,2779.0,2822.0,3042.0,3145.0,3314.0,3218.0,3293.0,3440.0,3000.0,3053.0,3084.0,3378.0,3293.0,3356.0,3021.0,2905.0,3093.0,3114.0,3177.0,3397.0,3293.0,3378.0,3469.0,3832.0,3064.0,3093.0,2957.0,2999.0,3177.0,3208.0,3387.0,3334.0,3419.0,3500.0,3639.0,3551.0,3422.0,3401.0,3152.0,3307.0,3093.0,3229.0,3093.0,3093.0,3387.0,3292.0,3419.0,3691.0,3565.0,3353.0,3328.0,3460.0,3313.0,3439.0,3292.0,3334.0,3324.0,3366.0,3366.0,3471.0,3523.0,3576.0,3727.0,3639.0,3489.0,3501.0,3401.0,3401.0,3523.0,3461.0,3419.0,3397.0,3608.0,3440.0,3629.0,3702.0,,3727.0,3639.0,3592.0,3611.0,3579.0,3489.0,3636.0,3650.0,3565.0,3471.0,3587.0,3650.0,3629.0,3832.0,4028.0,3892.0,3815.0,3680.0,3691.0,3628.0,3649.0,3628.0,3559.0,3471.0,3775.0,3691.0,3733.0,3748.0,3859.0,3817.0,3691.0,3705.0,3732.0,3724.0,3647.0,3934.0,3871.0,3691.0,3836.0,3890.0,4005.0,3952.0,3953.0,3397.0,3754.0,3933.0,3724.0,3871.0,3807.0,3807.0,4505.0,4295.0,4037.0,4005.0,4123.0,3952.0,3933.0,3933.0,3933.0,3911.0,3859.0,4091.0,4364.0,4123.0,4078.0,3952.0,3933.0,4080.0,4021.0,3911.0,3911.0,4674.0,3397.0,4241.0,4109.0,4109.0,3964.0,4760.0,4480.0,4840.0,4278.0,4727.0,4657.0,4587.0,4241.0,4360.0,4308.0,4241.0,4731.0,4555.0,4593.0,4587.0,4727.0,13030.0,4423.0,4409.0,4731.0,4769.0,4593.0,4440.0,4769.0
ëÂïΩë‰,0.0,0.0,0.0,0.0,0.0,270.0,649.0,1675.0,1616.0,610.0,576.0,639.0,1308.0,1540.0,1622.0,730.0,640.0,650.0,692.0,780.0,868.0,956.0,1170.0,1244.0,1220.0,1507.0,1624.0,870.0,780.0,670.0,701.0,796.0,796.0,956.0,1183.0,1132.0,1308.0,1444.0,827.0,869.0,912.0,1132.0,1235.0,1404.0,1308.0,1383.0,1530.0,1090.0,1143.0,1174.0,1468.0,1383.0,1446.0,1111.0,995.0,1183.0,1204.0,1267.0,1487.0,1383.0,1468.0,1559.0,1922.0,1154.0,1183.0,1047.0,1089.0,1267.0,1298.0,1477.0,1424.0,1509.0,1590.0,1729.0,1641.0,1512.0,1491.0,1242.0,1397.0,1183.0,1319.0,1183.0,1183.0,1477.0,1382.0,1509.0,1781.0,1687.0,1443.0,1418.0,1550.0,1403.0,1529.0,1382.0,1424.0,1414.0,1456.0,1456.0,1561.0,1613.0,1666.0,1770.0,1682.0,1579.0,1591.0,1491.0,1491.0,1613.0,1551.0,1509.0,1487.0,1698.0,1530.0,1719.0,1792.0,,1817.0,1729.0,1682.0,1701.0,1669.0,1579.0,1726.0,1729.0,1655.0,1561.0,1655.0,1740.0,1719.0,1922.0,2118.0,1982.0,1905.0,1770.0,1781.0,1718.0,1739.0,1718.0,1649.0,1561.0,1865.0,1781.0,1823.0,1838.0,1949.0,1907.0,1781.0,1795.0,1822.0,1814.0,1737.0,2024.0,1961.0,1781.0,1926.0,1980.0,2095.0,2042.0,2043.0,1487.0,1844.0,2023.0,1814.0,1961.0,1897.0,1897.0,2577.0,2367.0,2127.0,2095.0,2095.0,2042.0,2023.0,2023.0,2023.0,2001.0,1949.0,2001.0,2297.0,2213.0,2168.0,2042.0,2023.0,2170.0,2111.0,2001.0,2001.0,2764.0,1487.0,2331.0,2199.0,2199.0,2054.0,2850.0,2570.0,2930.0,2316.0,2817.0,2747.0,2677.0,2331.0,2450.0,2190.0,2331.0,3027.0,2741.0,2683.0,2677.0,2817.0,11120.0,2513.0,2499.0,3027.0,2859.0,2683.0,2530.0,2859.0
ì¸ê∂ìc,0.0,0.0,0.0,0.0,0.0,0.0,429.0,1455.0,1396.0,830.0,356.0,419.0,1088.0,1320.0,1402.0,510.0,420.0,430.0,472.0,560.0,648.0,736.0,950.0,1024.0,1000.0,1287.0,1404.0,650.0,560.0,450.0,481.0,576.0,576.0,736.0,963.0,912.0,1088.0,1224.0,607.0,649.0,692.0,912.0,1015.0,1184.0,1088.0,1163.0,1310.0,870.0,923.0,954.0,1248.0,1163.0,1226.0,891.0,775.0,963.0,984.0,1047.0,1267.0,1163.0,1248.0,1339.0,1702.0,934.0,963.0,827.0,869.0,1047.0,1078.0,1257.0,1204.0,1289.0,1370.0,1509.0,1421.0,1292.0,1271.0,1022.0,1177.0,963.0,1099.0,963.0,963.0,1131.0,1162.0,1289.0,1561.0,1467.0,1223.0,1198.0,1330.0,1183.0,1309.0,1162.0,1204.0,1194.0,1236.0,1236.0,1341.0,1393.0,1446.0,1550.0,1462.0,1359.0,1371.0,1271.0,1271.0,1393.0,1331.0,1289.0,1267.0,1478.0,1310.0,1499.0,1572.0,,1597.0,1509.0,1462.0,1481.0,1449.0,1359.0,1506.0,1509.0,1435.0,1341.0,1435.0,1520.0,1499.0,1702.0,1898.0,1762.0,1685.0,1550.0,1561.0,1498.0,1519.0,1498.0,1429.0,1341.0,1645.0,1561.0,1603.0,1618.0,1729.0,1687.0,1561.0,1592.0,1602.0,1594.0,1517.0,1804.0,1741.0,1561.0,1706.0,1760.0,1875.0,1822.0,1823.0,1267.0,1624.0,1803.0,1594.0,1741.0,1677.0,1677.0,2357.0,2147.0,1907.0,1875.0,1875.0,1822.0,1803.0,1803.0,1803.0,1781.0,1729.0,1781.0,2077.0,1993.0,1948.0,1822.0,1803.0,1950.0,1891.0,1781.0,1781.0,2544.0,1267.0,2111.0,1979.0,1979.0,1834.0,2630.0,2350.0,2710.0,2084.0,2597.0,2527.0,2457.0,2111.0,2043.0,1970.0,1970.0,2807.0,2521.0,2463.0,2457.0,2597.0,10900.0,2293.0,2279.0,2807.0,2639.0,2463.0,2310.0,2639.0
ç™ï{êÏ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0,1166.0,1219.0,325.0,199.0,990.0,1232.0,1304.0,479.0,389.0,330.0,330.0,418.0,506.0,594.0,808.0,882.0,858.0,1189.0,1306.0,590.0,510.0,419.0,450.0,545.0,545.0,682.0,839.0,770.0,990.0,1126.0,576.0,618.0,661.0,881.0,984.0,1100.0,990.0,1166.0,1279.0,839.0,892.0,923.0,1225.0,1166.0,1342.0,860.0,744.0,932.0,953.0,1016.0,1236.0,1292.0,1408.0,1499.0,1648.0,903.0,932.0,796.0,838.0,1016.0,1047.0,1365.0,1173.0,1449.0,1530.0,1478.0,1390.0,1261.0,1240.0,991.0,1146.0,932.0,1068.0,932.0,932.0,1100.0,1131.0,1449.0,1530.0,1980.0,1192.0,1167.0,1299.0,1152.0,1278.0,1131.0,1173.0,1163.0,1205.0,1205.0,1694.0,1362.0,1415.0,1566.0,1478.0,1328.0,1340.0,1240.0,1240.0,1362.0,1300.0,1258.0,1236.0,1447.0,1717.0,1468.0,1541.0,,1566.0,1478.0,1431.0,1538.0,1436.0,1328.0,1475.0,1478.0,1415.0,1310.0,1447.0,1489.0,1468.0,2100.0,1867.0,1731.0,1654.0,1519.0,1530.0,1467.0,1550.0,1467.0,1398.0,1980.0,1614.0,2113.0,1572.0,2170.0,1698.0,1656.0,1530.0,1561.0,1666.0,1563.0,1980.0,1800.0,1720.0,2011.0,2258.0,1855.0,1896.0,1833.0,1833.0,1236.0,1707.0,2310.0,1563.0,1876.0,2229.0,1646.0,2483.0,2273.0,2033.0,1959.0,1844.0,1844.0,2310.0,2310.0,2310.0,1750.0,1698.0,2117.0,2203.0,1962.0,1969.0,1907.0,2310.0,2666.0,2310.0,2333.0,1750.0,2884.0,1236.0,2640.0,2640.0,2310.0,1803.0,2988.0,2708.0,3150.0,2149.0,2950.0,2880.0,2810.0,2640.0,2561.0,1939.0,1939.0,2640.0,2640.0,3080.0,2810.0,2934.0,10670.0,2624.0,2595.0,2570.0,3080.0,3080.0,2595.0,3410.0
ãûã}í∑ëÚ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,2245.0,1268.0,1137.0,283.0,242.0,242.0,1548.0,1458.0,1137.0,961.0,873.0,927.0,785.0,735.0,775.0,465.0,283.0,548.0,1357.0,1327.0,1183.0,1120.0,1057.0,1057.0,785.0,766.0,535.0,367.0,314.0,1026.0,963.0,932.0,828.0,794.0,577.0,503.0,535.0,1006.0,775.0,723.0,691.0,671.0,649.0,712.0,1005.0,954.0,888.0,869.0,712.0,702.0,649.0,723.0,846.0,995.0,1048.0,965.0,954.0,985.0,765.0,764.0,743.0,764.0,796.0,846.0,1373.0,1330.0,1152.0,1131.0,1141.0,1304.0,1089.0,1047.0,1006.0,1006.0,743.0,764.0,796.0,1288.0,1123.0,1302.0,1350.0,1303.0,1108.0,1153.0,963.0,921.0,890.0,932.0,932.0,1038.0,1071.0,1113.0,1511.0,1427.0,1273.0,1399.0,1185.0,1131.0,1174.0,1131.0,984.0,932.0,1221.0,1006.0,1242.0,1308.0,,1526.0,1427.0,1482.0,1309.0,1236.0,1267.0,1204.0,1205.0,1100.0,984.0,1100.0,1216.0,1227.0,1504.0,1812.0,1647.0,1585.0,1566.0,1341.0,1309.0,1215.0,1183.0,1160.0,1211.0,1341.0,1257.0,1299.0,1413.0,1498.0,1466.0,1372.0,1372.0,1298.0,1237.0,1160.0,1464.0,1384.0,1257.0,1490.0,1540.0,1571.0,1518.0,1560.0,932.0,1361.0,1446.0,1325.0,1472.0,1373.0,1373.0,2168.0,1958.0,1718.0,1644.0,1571.0,1518.0,1534.0,1446.0,1446.0,1524.0,1425.0,1649.0,1888.0,1760.0,1644.0,1518.0,1534.0,1681.0,1534.0,1477.0,1612.0,2210.0,1038.0,1754.0,1733.0,1622.0,1665.0,2472.0,2192.0,2004.0,1780.0,2240.0,2170.0,2100.0,1930.0,1875.0,1838.0,1754.0,2253.0,2110.0,2106.0,2100.0,2240.0,11367.0,1911.0,1911.0,2286.0,2282.0,2282.0,1911.0,2472.0
ãvó¢ïl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2186.0,1206.0,990.0,242.0,199.0,199.0,1446.0,1356.0,990.0,990.0,858.0,770.0,682.0,632.0,618.0,308.0,242.0,548.0,1321.0,1170.0,1121.0,1058.0,995.0,995.0,682.0,663.0,396.0,314.0,314.0,964.0,901.0,870.0,726.0,732.0,577.0,450.0,482.0,944.0,713.0,661.0,629.0,671.0,587.0,650.0,943.0,852.0,826.0,807.0,650.0,702.0,587.0,650.0,773.0,922.0,986.0,903.0,852.0,883.0,765.0,702.0,681.0,702.0,723.0,846.0,1311.0,1268.0,1090.0,1069.0,1040.0,1223.0,968.0,985.0,944.0,944.0,681.0,702.0,723.0,1247.0,1049.0,1205.0,1238.0,1241.0,1046.0,1091.0,901.0,859.0,828.0,870.0,870.0,964.0,1009.0,1027.0,1427.0,1365.0,1211.0,1337.0,1123.0,1069.0,1112.0,1069.0,922.0,870.0,1159.0,944.0,1180.0,1257.0,,1464.0,1365.0,1420.0,1247.0,1174.0,1205.0,1142.0,1143.0,1038.0,922.0,1038.0,1154.0,1153.0,1430.0,1750.0,1585.0,1511.0,1482.0,1279.0,1236.0,1153.0,1121.0,1098.0,1137.0,1326.0,1330.0,1237.0,1365.0,1436.0,1404.0,1310.0,1310.0,1236.0,1175.0,1098.0,1424.0,1322.0,1195.0,1445.0,1478.0,1509.0,1456.0,1498.0,870.0,1299.0,1384.0,1263.0,1410.0,1487.0,1311.0,2106.0,1896.0,1656.0,1582.0,1509.0,1456.0,1566.0,1384.0,1384.0,1462.0,1363.0,1575.0,1826.0,1698.0,1582.0,1456.0,1472.0,1619.0,1472.0,1415.0,1550.0,2148.0,964.0,1692.0,1671.0,1560.0,1468.0,2252.0,1972.0,1972.0,1718.0,2178.0,2108.0,2038.0,1868.0,1801.0,1759.0,1692.0,2191.0,2048.0,2044.0,2038.0,2178.0,11330.0,1878.0,1860.0,2224.0,2220.0,2220.0,1878.0,2396.0
è„ã≠óÖ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,1209.0,1878.0,2110.0,2192.0,1300.0,1210.0,1220.0,1262.0,1350.0,1438.0,1526.0,1740.0,1814.0,1790.0,2077.0,2194.0,1440.0,1350.0,1240.0,1271.0,1366.0,1366.0,1526.0,1753.0,1702.0,1878.0,2014.0,1397.0,1439.0,1482.0,1702.0,1805.0,1974.0,1878.0,1953.0,2100.0,1660.0,1713.0,1744.0,2038.0,1953.0,2016.0,1681.0,1565.0,1753.0,1774.0,1837.0,2057.0,1953.0,2038.0,2129.0,2492.0,1724.0,1753.0,1617.0,1659.0,1837.0,1868.0,2047.0,1994.0,2079.0,2160.0,2299.0,2211.0,2082.0,2061.0,1812.0,1967.0,1753.0,1889.0,1753.0,1753.0,2047.0,1952.0,2079.0,2351.0,2257.0,2013.0,1988.0,2120.0,1973.0,2099.0,1952.0,1994.0,1984.0,2026.0,2026.0,2131.0,2183.0,2236.0,2387.0,2299.0,2149.0,2161.0,2061.0,2061.0,2183.0,2121.0,2079.0,2057.0,2268.0,2100.0,2289.0,2362.0,,2387.0,2299.0,2252.0,2271.0,2239.0,2149.0,2296.0,2310.0,2225.0,2131.0,2225.0,2310.0,2289.0,2492.0,2688.0,2552.0,2475.0,2340.0,2351.0,2288.0,2309.0,2288.0,2219.0,2131.0,2435.0,2351.0,2393.0,2408.0,2519.0,2477.0,2351.0,2365.0,2392.0,2384.0,2307.0,2594.0,2531.0,2351.0,2496.0,2550.0,2665.0,2612.0,2613.0,2057.0,2414.0,2593.0,2384.0,2531.0,2467.0,2467.0,3165.0,2937.0,2697.0,2665.0,2783.0,2612.0,2593.0,2593.0,2593.0,2571.0,2519.0,2751.0,2867.0,2783.0,2738.0,2612.0,2593.0,2740.0,2681.0,2571.0,2571.0,3334.0,2057.0,2901.0,2769.0,2769.0,2624.0,3420.0,3140.0,3500.0,2938.0,3387.0,3317.0,3247.0,2901.0,3020.0,2968.0,2901.0,3391.0,3215.0,3253.0,3247.0,3387.0,11690.0,3083.0,3069.0,3391.0,3429.0,3253.0,3100.0,4100.0
ë´ïø,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,984.0,1090.0,1206.0,406.0,316.0,326.0,368.0,456.0,544.0,632.0,786.0,920.0,896.0,1090.0,1300.0,389.0,339.0,189.0,251.0,314.0,314.0,632.0,733.0,808.0,984.0,1018.0,346.0,377.0,419.0,639.0,785.0,954.0,984.0,933.0,1080.0,640.0,693.0,724.0,1018.0,941.0,996.0,661.0,545.0,681.0,754.0,765.0,985.0,933.0,1018.0,1109.0,1528.0,661.0,681.0,597.0,597.0,817.0,848.0,976.0,974.0,1059.0,1140.0,1227.0,1139.0,1010.0,989.0,765.0,947.0,733.0,869.0,733.0,733.0,1007.0,932.0,1059.0,1331.0,1234.0,941.0,963.0,1100.0,902.0,1079.0,932.0,922.0,912.0,1006.0,1006.0,1058.0,1110.0,1163.0,1277.0,1189.0,1078.0,1141.0,990.0,990.0,1110.0,1048.0,1006.0,995.0,1204.0,1110.0,1225.0,1298.0,,1315.0,1227.0,1227.0,1200.0,1168.0,1078.0,1225.0,1237.0,1163.0,1058.0,1174.0,1290.0,1225.0,1472.0,1617.0,1480.0,1403.0,1315.0,1278.0,1215.0,1248.0,1227.0,1146.0,1058.0,1371.0,1331.0,1373.0,1388.0,1446.0,1404.0,1278.0,1294.0,1331.0,1311.0,1234.0,1521.0,1458.0,1331.0,1476.0,1477.0,1604.0,1551.0,1540.0,1037.0,1341.0,1520.0,1311.0,1458.0,1447.0,1447.0,2074.0,1864.0,1624.0,1592.0,1604.0,1551.0,1520.0,1520.0,1520.0,1510.0,1499.0,1551.0,1794.0,1711.0,1677.0,1551.0,1520.0,1667.0,1608.0,1551.0,1551.0,2262.0,1037.0,1828.0,1696.0,1696.0,1604.0,2347.0,2067.0,2514.0,1897.0,2314.0,2244.0,2174.0,1828.0,1813.0,1740.0,1740.0,2360.0,2239.0,2180.0,2174.0,2314.0,10796.0,2010.0,1813.0,2318.0,2356.0,2180.0,2027.0,2356.0
